1,1,1
1,2,2
1,3,3
2,4,1
2,5,2
2,6,3
3,7,1
3,8,2
3,9,3
1,1,1,1,1
1,1,1,2,2
1,1,1,3,3
1,2,2,4,1
1,2,2,5,2
1,2,2,6,3
1,3,3,7,1
1,3,3,8,2
1,3,3,9,3
2,4,1,1,1
2,4,1,2,2
2,4,1,3,3
2,5,2,4,1
2,5,2,5,2
2,5,2,6,3
2,6,3,7,1
2,6,3,8,2
2,6,3,9,3
3,7,1,1,1
3,7,1,2,2
3,7,1,3,3
3,8,2,4,1
3,8,2,5,2
3,8,2,6,3
3,9,3,7,1
3,9,3,8,2
3,9,3,9,3
1,1,1,1,1,1,1
1,1,1,1,1,2,2
1,1,1,1,1,3,3
1,1,1,2,2,4,1
1,1,1,2,2,5,2
1,1,1,2,2,6,3
1,1,1,3,3,7,1
1,1,1,3,3,8,2
1,1,1,3,3,9,3
1,2,2,4,1,1,1
1,2,2,4,1,2,2
1,2,2,4,1,3,3
1,2,2,5,2,4,1
1,2,2,5,2,5,2
1,2,2,5,2,6,3
1,2,2,6,3,7,1
1,2,2,6,3,8,2
1,2,2,6,3,9,3
1,3,3,7,1,1,1
1,3,3,7,1,2,2
1,3,3,7,1,3,3
1,3,3,8,2,4,1
1,3,3,8,2,5,2
1,3,3,8,2,6,3
1,3,3,9,3,7,1
1,3,3,9,3,8,2
1,3,3,9,3,9,3
2,4,1,1,1,1,1
2,4,1,1,1,2,2
2,4,1,1,1,3,3
2,4,1,2,2,4,1
2,4,1,2,2,5,2
2,4,1,2,2,6,3
2,4,1,3,3,7,1
2,4,1,3,3,8,2
2,4,1,3,3,9,3
2,5,2,4,1,1,1
2,5,2,4,1,2,2
2,5,2,4,1,3,3
2,5,2,5,2,4,1
2,5,2,5,2,5,2
2,5,2,5,2,6,3
2,5,2,6,3,7,1
2,5,2,6,3,8,2
2,5,2,6,3,9,3
2,6,3,7,1,1,1
2,6,3,7,1,2,2
2,6,3,7,1,3,3
2,6,3,8,2,4,1
2,6,3,8,2,5,2
2,6,3,8,2,6,3
2,6,3,9,3,7,1
2,6,3,9,3,8,2
2,6,3,9,3,9,3
3,7,1,1,1,1,1
3,7,1,1,1,2,2
3,7,1,1,1,3,3
3,7,1,2,2,4,1
3,7,1,2,2,5,2
3,7,1,2,2,6,3
3,7,1,3,3,7,1
3,7,1,3,3,8,2
3,7,1,3,3,9,3
3,8,2,4,1,1,1
3,8,2,4,1,2,2
3,8,2,4,1,3,3
3,8,2,5,2,4,1
3,8,2,5,2,5,2
3,8,2,5,2,6,3
3,8,2,6,3,7,1
3,8,2,6,3,8,2
3,8,2,6,3,9,3
3,9,3,7,1,1,1
3,9,3,7,1,2,2
3,9,3,7,1,3,3
3,9,3,8,2,4,1
3,9,3,8,2,5,2
3,9,3,8,2,6,3
3,9,3,9,3,7,1
3,9,3,9,3,8,2
3,9,3,9,3,9,3
